,features,Aggressive_label importance,Attractive_label importance,Confident_label importance,Intelligent_label importance,Masculine_label importance,Trust_label importance
23,District of Columbia,0.05086360014460044,0.0411116575950384,0.050471350888283306,0.04273156603922329,0.010670311545098593,0.04309739861517486
121,F2.IY1_Norm,0.05852863224690891,0.08503362770025057,0.08453848528773507,0.06922811069576577,0.041619689162597076,0.042607040078965625
107,F3.AH1_Norm,0.09466473170108732,0.07936962899991533,0.1298894274232304,0.03290070647779084,0.04901547873877119,0.04235324260841026
142,RMSE_var,0.055128030370792266,0.07948106973529596,0.09102769105142393,0.02275300754462404,0.06412279470829713,0.04213715982162027
69,F2.AH1,0.15294123816925137,0.06439249423919861,0.1666444991431957,0.06193476151022072,0.09195596941030326,0.04132757874073953
71,F1.AO1,0.08774213922799597,0.05221681718600146,0.10142403709250056,0.06549653514529301,0.07626600696480772,0.041233666421801894
42,Nebraska,0.0364283696524042,0.029634656985099265,0.003952033616263257,0.04044112621092399,0.018064861479614582,0.040997612996543684
66,F2.AH0,0.061361103337967,0.04887353003813546,0.11789402223612377,0.023511185339890217,0.06374781748003706,0.04096042598257415
18,Arkansas,0.019788295415619803,0.01686098062757494,0.04077992797898272,0.01959043815365141,0.0061711336466697434,0.04042492528602124
67,F3.AH0,0.04199311809744534,0.061007297387130774,0.06567529797824584,0.06872705788783467,0.04620117552162336,0.040014739901898085
81,F2.IH1,0.1115303865598889,0.03884242693697011,0.12819026360414573,0.0651024671735782,0.04414719205850849,0.03954989628539491
68,F1.AH1,0.13271928959353227,0.02023473998835531,0.12536765581900156,0.048014294842203015,0.1058796627673428,0.039444783732919445
22,Delaware,0.04038891556805197,0.02741692125177299,0.03005691594593129,0.028722968877861906,0.051085979397396675,0.038786979676802516
17,Arizona,0.03160668667898419,0.022962772180023905,0.08516149265150907,0.024425959045972258,0.014741749693593107,0.03836907503102681
152,Pitch_9,0.1680615445113765,0.12950629250083714,0.13251255213329285,0.08017119071702652,0.11411362770819479,0.037467420738821026
128,f0mean_Norm,0.07315337143452318,0.0905532932237,0.11682595308348591,0.053359837301212146,0.14536760650389552,0.03689931882251994
135,Gender_male,0.0,0.061713875822604854,0.03110173917690192,0.02197482085467311,0.09441569223915015,0.03670108037802314
133,H1A2_Norm,0.08334214466010346,0.06565352604750023,0.10322914217070284,0.050329821351150085,0.08022267597285891,0.035602505739064476
82,F3.IH1,0.09078140927141762,0.03861570313756963,0.07563127022846548,0.028903790417228695,0.0734788921544564,0.03542811363982452
102,F1.AH0_Norm,0.060919487602422356,0.05732935116951181,0.09106933683304616,0.051850335739440236,0.08371387776212057,0.03517668450110007
129,CoG_s_Norm,0.10973202557088316,0.07737351913339681,0.11079651220291332,0.06658892864512483,0.07059202118081728,0.035128511304836664
8,Male,0.05290057618476719,0.04077382213841454,0.07517268761929538,0.0579701939827006,0.0689027250651936,0.03507268096629468
136,Gender_female,0.0,0.051445558985998785,0.036080502846926085,0.03806671493446285,0.08801494884413921,0.03487823370517934
32,Kentucky,0.04808053550729595,0.008838593235302256,0.028769964138781995,0.005297464977579276,0.007395758776977092,0.034347384239823975
98,H1A2,0.0627169917138378,0.06198370085954816,0.09659257443871042,0.03367345017521003,0.08025538680967302,0.03433722613987519
75,F2.ER0,0.12347640393845809,0.061295555507613564,0.12546167238490952,0.05925893538561931,0.08273327515038674,0.03377785555897158
134,H1A3_Norm,0.09658420961153089,0.06209199711707528,0.11943437913925385,0.05645518199468824,0.06060315269015534,0.03344499746471455
131,H1H2_Norm,0.10059257844555314,0.09772696700584935,0.13293965994681872,0.07601600224201707,0.04135597883155574,0.03339003950163732
94,CoG_s,0.08176165211889094,0.09471251367316932,0.11392871847553522,0.05313234352567738,0.09180753399916167,0.032953398149767804
116,F3.EY1_Norm,0.06726291169932343,0.0777389489251308,0.0652110324666342,0.05439902802523277,0.06465757037653977,0.03253934828578042
30,Iowa,0.013408718091834146,0.008165966001523695,0.015943459604906868,0.025591334847504872,0.012528806078042519,0.03244346106920051
109,F2.AO1_Norm,0.16371787145893185,0.11093068665296148,0.1276190337139668,0.036206574730010314,0.08793355215957623,0.03230616220159812
130,CoG_z_Norm,0.09812720754607007,0.08830306186357197,0.12506080555259286,0.06526808098517188,0.06600633873446453,0.032286133042877495
103,F2.AH0_Norm,0.06465823259937241,0.04079744680145695,0.09908388652246038,0.017221748582592306,0.05008485865178956,0.03160248448099725
53,Rhode Island,0.038817447612220335,0.03633538076758907,0.02397221050400571,0.05985543305952327,0.017950174315115378,0.03126841279713792
97,H1A1,0.06768746204216287,0.06743312499976495,0.06175683218322559,0.039975226022922646,0.02726896047747179,0.031151553794990395
146,Pitch_3,0.1541104936526763,0.1271753932858104,0.24989126772158138,0.07790908074882956,0.17028745737246984,0.031054740285494445
45,New Jersey,0.04366546659317029,0.008626982961560654,0.053688180094583995,0.04996793343822582,0.018874363337369582,0.03074778573405243
95,CoG_z,0.0720362970725163,0.08307054099501605,0.10659002022988404,0.05540857652954733,0.08143011338814281,0.030352105547889446
145,Pitch_2,0.13154821556099486,0.07095976536942875,0.18198296121078936,0.06053398024485635,0.13198856808017181,0.03019295170596811
39,Mississippi,0.013482657493300564,0.036784781315287216,0.013579698473735625,0.0,0.024609680304852697,0.029802162750604776
113,F3.ER0_Norm,0.06093755959569788,0.08576652783069738,0.1282389603323103,0.036848075530419334,0.07476543826115557,0.02974502590783694
106,F2.AH1_Norm,0.10743901828636769,0.0952198007321293,0.13886157870417515,0.05827383256654512,0.07953432010483248,0.029183405139432617
105,F1.AH1_Norm,0.08838977996251274,0.038881498690479556,0.11456938059467306,0.04989511425791401,0.0868388509535405,0.029118669768295358
99,H1A3,0.10952449312674764,0.03924570462927755,0.12781787816947343,0.04040164855745201,0.090220652909802,0.028559091169247833
